"STATION","NAME","DATE","AWND","PGTM","WDF2","WDF5","WSF2","WSF5"
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-28",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-29",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-30",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-10-31",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-09",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-10",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-11",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-12",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-13",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-14",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-15",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-16",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-17",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-18",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-19",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-28",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-29",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-11-30",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-09",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-10",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-11",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-12",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-13",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-14",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-15",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-16",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-17",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-18",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-19",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-28",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-29",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-30",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2019-12-31",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-09",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-10",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-11",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-12",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-13",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-14",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-15",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-16",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-17",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-18",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-19",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-28",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-29",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-30",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-01-31",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-09",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-10",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-11",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-12",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-13",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-14",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-15",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-16",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-17",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-18",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-19",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-28",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-02-29",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-09",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-10",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-11",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-12",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-13",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-14",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-15",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-16",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-17",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-18",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-19",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-28",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-29",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-30",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-03-31",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-09",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-10",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-11",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-12",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-13",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-14",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-15",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-16",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-17",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-18",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-19",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-28",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-29",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-04-30",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-09",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-10",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-11",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-12",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-13",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-14",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-15",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-16",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-17",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-18",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-19",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-28",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-29",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-30",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-05-31",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-09",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-10",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-11",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-12",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-13",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-14",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-15",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-16",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-17",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-18",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-19",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-28",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-29",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-06-30",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-09",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-10",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-11",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-12",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-13",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-14",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-15",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-16",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-17",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-18",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-19",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-20",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-21",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-22",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-23",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-24",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-25",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-26",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-07-27",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-08-01",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-08-02",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-08-03",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-08-04",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-08-05",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-08-06",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-08-07",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-08-08",,,,,,
"USC00115314","MANHATTAN 5 NE, IL US","2020-08-09",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-01",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-02",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-03",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-04",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-05",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-06",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-07",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-08",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-09",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-10",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-11",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-12",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-13",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-14",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-15",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-16",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-17",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-18",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-19",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-20",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-21",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-22",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-23",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-24",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-25",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-26",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-27",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-28",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-29",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-30",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-10-31",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-11-01",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-11-02",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-11-03",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-11-04",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-11-05",,,,,,
"US1ILCK0214","ROGERS PARK 1.5 SW, IL US","2019-11-06",,,,,,
